canonical_sku,unit_to_bom_ratio_max,name_jaccard,sale_name,bom_name,priority
0-3347,83.77,0.444,"Жакет женский, черный, из стрейч-бархата, с вышивкой ""Y"" на карманах и поясом ","Жакет двубортный из стрейч-бархата  с поясом
0-3422",HIGH_REVIEW_NO_AUTOFIX
0-3348,26.21,0.5,"Брюки-палаццо женские, черные, из стрейч-бархата, с широким поясом",Брюки палаццо  из стрейч-бархата,HIGH_REVIEW_NO_AUTOFIX
T-2988,10.58,0.5,"Брюки-палаццо женские, черные, из шерсти",Брюки палаццо из тонкой шерсти,HIGH_REVIEW_NO_AUTOFIX
T-3186,10.42,0.667,"Юбка женская, черная, из стрейч бархата, длинная",Юбка длинная из черного стрейч бархата,HIGH_REVIEW_NO_AUTOFIX
T-2806,10.38,0.333,"Брюки женские, черные с принтом ""белый горох"", из шелка, широкие",Брюки широкие принт ГОРОХ,HIGH_REVIEW_NO_AUTOFIX
T-2974A,10.03,0.333,"Рубашка женская, белая, из хлопка, с декором принт ""цветы""",Рубашка цветы,HIGH_REVIEW_NO_AUTOFIX
T-2885,9.77,0.25,"Пальто-халат женское, розовое с принтом ""цветы"", из хлопка ",Халат накидка принт ЦВЕТЫ,HIGH_REVIEW_NO_AUTOFIX
T-2604,8.97,0.286,"Юбка-карандаш женская, черная, из стрейч бархата",Юбка черный стрейч-бархат,HIGH_REVIEW_NO_AUTOFIX
T-3023,8.13,0.875,"Платье женское, черное, из шелкового бархата, с кружевом и аппликацией ""Цветы""",Платье черное мини из шелкового бархата с кружевом и аппликацией ЦВЕТЫ,HIGH_REVIEW_NO_AUTOFIX
