stock_line_id,warehouse,article,article_norm,name,qty_in_move,cost_rub,unit_cost_rub,source_file,source_file_id,so_t
STK-341,ДЕМИ (Основное подразделение),0-2495,0-2495,"Платье женское, чёрное с принтом ""хаотичные буквы Y"", из шёлка, длинное",-2.0,-46784.6,23392.3,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-342,ДЕМИ (Основное подразделение),0-2496,0-2496,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",-10.0,-123592.7,12359.27,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-343,ДЕМИ (Основное подразделение),0-2497,0-2497,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом",-11.0,-149372.74,13579.34,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-344,ДЕМИ (Основное подразделение),0-2498,0-2498,"Платье женское, розовое с принтом ""пион"", из штапеля, без рукавов",-5.0,-33985.0,6797.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-345,ДЕМИ (Основное подразделение),0-2499,0-2499,"Платье женское, розовое с принтом ""пион"", из батиста, приталенного силуэта",-2.0,-19460.04,9730.02,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-346,ДЕМИ (Основное подразделение),0-2500,0-2500,"Платье-кафтан женское, серое с большим цветком, из штапеля, рукав декорирован пайетками",-2.0,-15404.0,7702.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-347,ДЕМИ (Основное подразделение),0-2500A,0-2500A,"Платье-кафтан женское, розовое с принтом ""пион"", из батиста, рукав декорирован пайетками",-5.0,-38510.0,7702.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-348,ДЕМИ (Основное подразделение),0-2502,0-2502,"Юбка женская, черная с принтом ""девочки"", из шёлка, c отделкой ""лампас""",-1.0,-12650.64,12650.64,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-349,ДЕМИ (Основное подразделение),0-2503,0-2503,"Юбка женская, черная с принтом ""девочки"", из хлопка, с лампасами ""YANINA""",-5.0,-29042.45,5808.49,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-350,ДЕМИ (Основное подразделение),0-2504,0-2504,"Юбка женская, серая с принтом ""пион"", из батиста",-4.0,-30146.96,7536.74,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-351,ДЕМИ (Основное подразделение),0-2536,0-2536,"Блуза-топ женская, черная, из шелка, на тонких бретелях",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-352,ДЕМИ (Основное подразделение),0-2589,0-2589,"Платье женское, черное, из хлопкового кружева, с вышивкой ""Цветы""",-1.0,-16198.5,16198.5,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-353,ДЕМИ (Основное подразделение),0-2590,0-2590,"Платье женское, черное, корсетное, из сетки, с декором ""Красный цветок""",-1.0,-40175.0,40175.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-354,ДЕМИ (Основное подразделение),0-2592/1,0-2592/1,"Свитер женский, черный, из кашемира, с вышивкой ""черная Y""",-4.0,-53040.0,13260.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-355,ДЕМИ (Основное подразделение),0-2592/2,0-2592/2,"Свитер женский, белый, из кашемира, с вышивкой  ""белая Y""",-5.0,-66300.0,13260.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-356,ДЕМИ (Основное подразделение),0-2592/4,0-2592/4,"Свитер женский, зеленый, из кашемира, с вышивкой ""зеленая Y""",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-357,ДЕМИ (Основное подразделение),0-2593/2,0-2593/2,"Свитер женский, черный, из кашемира, с вышивкой ""Черный мак""",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-358,ДЕМИ (Основное подразделение),0-2594,0-2594,"Куртка-бомбер женская, черная, из нат.кожи, с вышивкой ""Y"" камнями и бусинами",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-359,ДЕМИ (Основное подразделение),0-2595,0-2595,"Жакет женский, черный, из шелкового бархата, с вышивкой ""Цветок"" из пайеток",-1.0,-26750.0,26750.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-360,ДЕМИ (Основное подразделение),0-2596,0-2596,"Пальто женское, черное, из шерсти, короткое, с аппликацией ""Большой цветок"" из бархата",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-361,ДЕМИ (Основное подразделение),0-2597,0-2597,"Пальто женское, черное, из шерсти, длинное, с поясом, с аппликацией ""Цветок"" из бархата",-1.0,-37135.2,37135.2,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-362,ДЕМИ (Основное подразделение),0-2598,0-2598,"Брюки женские, черные, из шелкового бархата, на подкладке",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-363,ДЕМИ (Основное подразделение),0-2599,0-2599,"Жакет женский, черный, из крепа и бархата, с вышивкой ""Цветы""",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-364,ДЕМИ (Основное подразделение),0-2600,0-2600,"Брюки-капри женские, чёрные, из шёлка дюшес",-1.0,-5418.8,5418.8,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-365,ДЕМИ (Основное подразделение),0-2603,0-2603,"Юбка женская, черная, из пайеточной ткани, длинная, с вышивкой ""Красный цветок""",-1.0,-40445.32,40445.32,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-366,ДЕМИ (Основное подразделение),0-2603A,0-2603A,"Юбка женская, черная, из пайеточной ткани, короткая, с вышивкой ""Красный цветок""",-2.0,-80350.64,40175.32,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-367,ДЕМИ (Основное подразделение),0-2604,0-2604,"Юбка женская, черная, из стрейч бархата, прямая, зауженная к низу, средней длины",-3.0,-15645.0,5215.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-368,ДЕМИ (Основное подразделение),0-2658,0-2658,"Платье женское, черное, из бархата стрейч, с аппликацией ""Цветок""",-1.0,-14434.0,14434.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-369,ДЕМИ (Основное подразделение),0-2658A,0-2658A,"Платье женское, серебро, из паейток, с аппликацией ""Цветок""",-2.0,-89538.0,44769.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-370,ДЕМИ (Основное подразделение),0-2661,0-2661,"Платье женское, черное, из шелкового бархата, с рукавом из шифона с боа по низу",-1.0,-32070.8,32070.8,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-371,ДЕМИ (Основное подразделение),0-2665,0-2665,"Блуза женская, белая, из шелка, с аппликацией ""Цветы""",,,,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-372,ДЕМИ (Основное подразделение),0-2666,0-2666,"Юбка женская, серебро, из пайеток, с аппликацией ""Цветы""",-2.0,-61073.76,30536.88,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-373,ДЕМИ (Основное подразделение),0-2668,0-2668,"Платье женское, черное, длинное, из бархата стрейч, с аппликацией ""Цветок""",-1.0,-17171.8,17171.8,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-374,ДЕМИ (Основное подразделение),0-2669A,0-2669A,"Платье женское, черное, из бархата стрейч, с аппликацией ""Цветок"", с длинным рукавом",-1.0,-19327.0,19327.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
STK-375,ДЕМИ (Основное подразделение),0-2671,0-2671,"Блуза женская, черная, из шифона, с кружевом",-2.0,-23672.0,11836.0,Движение товаров с себестоимостью.xlsx,SRC-CF84AB121369,N
