sales_line_id,canonical_sku,channel,period_month,sku_name,qty,revenue_rub,unit_price_rub,cogs_rub,unit_cost_rub,margin_rub,cogs_source
SL-ec95f577eed3b42f,0-2493A,B2B,2025-05,"Платье женское, белое с принтом ""серо-черные Y"", из батиста, с широкими бретелями-завязками",2.0,20000.0,10000.0,23923.04,11961.52,-3923.04,FILE
SL-fc29d824527f5ce1,0-2493A,B2B,2025-05,"Платье женское, белое с принтом ""серо-черные Y"", из батиста, с широкими бретелями-завязками",1.0,10000.0,10000.0,11961.52,11961.52,-1961.52,FILE
SL-28855e1921a4eb15,0-2497,B2B,2025-05,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом ",4.0,40000.04,10000.01,54317.36,13579.34,-14317.32,FILE
SL-56f98cbcc657a398,0-2497,B2B,2026-06,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом ",1.0,10000.0,10000.0,13579.34,13579.34,-3579.34,FILE
SL-9660d7c380f0c409,0-2497,B2B,2025-05,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом ",1.0,10000.0,10000.0,13579.34,13579.34,-3579.34,FILE
SL-b06d5fd585dcb888,0-2497,B2B,2025-06,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом ",1.0,10000.0,10000.0,13579.34,13579.34,-3579.34,FILE
SL-447b3eae64da5f61,0-2496,B2B,2025-05,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",5.0,50000.05,10000.01,61796.35,12359.27,-11796.3,FILE
SL-d03bdebd00d4530f,0-2496,B2B,2025-06,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",1.0,10000.0,10000.0,12359.27,12359.27,-2359.27,FILE
