stock_wh_id,article_raw,canonical_sku,name,warehouse,qty_end,source_file_id,source_row_id
SW-35625f3a6d46274b,0-2029,0-2029,"Шорты женские, черные с принтом ""белые Y"", из шелка, с отделкой ""лампас""",Склад ИМ (Основное подразделение),2.0,FILE-098,r1104
SW-c950d0b2dc8f0b48,0-2032D/A,0-2032D/A,"Рубашка женская, черная с принтом ""грибы"", из батиста, декорирована тесьмой",Склад ИМ (Основное подразделение),2.0,FILE-098,r1142
SW-15f5ee6a7059824b,0-2032M,0-2032M,"Рубашка женская, белая с принтом ""белые Y и балерины"", из батиста, с отделкой черным кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1151
SW-ab3ca6573b87b040,0-2032M/2,0-2032M,"Блуза женская, белая с принтом ""грибы"", из батиста",Склад ИМ (Основное подразделение),1.0,FILE-098,r1158
SW-e9173431e1627d03,0-2032N/3,0-2032N,"Рубашка женская, розовая с принтом ""девочки"", из вискозы",Склад ИМ (Основное подразделение),1.0,FILE-098,r1173
SW-38daac45ed5fb67a,0-2037M,0-2037M,"Брюки женские, черные с принтом ""белые Y и балерины"", из батиста",Склад ИМ (Основное подразделение),2.0,FILE-098,r1195
SW-7a7b3b993f1bcd98,0-2037M/2,0-2037M,"Брюки женские, белые с принтом ""грибы"", из батиста",Склад ИМ (Основное подразделение),1.0,FILE-098,r1204
SW-ff6daaaeb42266fc,0-2037N/3,0-2037N,"Брюки женские, розовые с принтом ""девочки"", из вискозы",Склад ИМ (Основное подразделение),1.0,FILE-098,r1219
SW-7ef227839254d5a3,0-2037В,0-2037B,"Брюки женские, черные с принтом ""цветные капли"", из батиста, с отделкой ""лампас""",Склад ИМ (Основное подразделение),3.0,FILE-098,r1223
SW-6a7da57fd1302580,0-2050,0-2050,"Шорты женские, белые с принтом ""Y"", из шелка, с черным кантом",Склад ИМ (Основное подразделение),1.0,FILE-098,r1233
SW-8a330952799791fc,0-2050B/2,0-2050B,"Шорты женские, белые с принтом ""капли Гжель"", из батиста",Подарки (Основное подразделение),1.0,FILE-098,r1258
SW-c2668b6bcaf95199,0-2050C/1,0-2050C,"Шорты женские, черные с принтом ""грибы"", из батиста",Склад ИМ (Основное подразделение),1.0,FILE-098,r1262
