sku_id,canonical_sku,article,code_1c,name,in_cost,in_sales,in_intersection,sales_revenue_rub,status
SKU-29840b4ed94e42fe,T-2593,T-2593/2,00-00001426,"Свитер женский, черный, из кашемира, с расшивкой ""Черный мак""",N,Y,N,115044.0,CANDIDATE_MASTER
SKU-0dcfde574d64e193,T-2604,T-2604,00-00001790,"Юбка-карандаш женская, черная, из стрейч бархата",Y,Y,Y,547308.35,CANDIDATE_MASTER
SKU-43aa6e962195b527,T-2699,T-2699,00-00001442,"Юбка женская, черная, из пайеточной ткани, с вышивкой ""Ласточки""",Y,Y,Y,977000.56,CANDIDATE_MASTER
SKU-a4877f57bf05169a,T-2701,T-2701,00-00001460,"Куртка женская, коричневая, из натуральной кожи, двубортная, с поясом",N,Y,N,1896544.0,CANDIDATE_MASTER
SKU-b65f1c38263949db,T-2702,T-2702,00-00001436,"Платье женское, черное, из джерси, с аппликацией ""Цветок""",N,Y,N,1678340.0,CANDIDATE_MASTER
SKU-4d3358369c382384,T-2703,T-2703,00-00001477,"Блуза женская, черная, из шелка, с декором ""Цветок""",Y,Y,Y,1727263.53,CANDIDATE_MASTER
SKU-86a6ff6420e3d6c5,T-2704,T-2704,00-00001438,"Платье женское, черное, из крепа, с аппликацией ""Цветок""",N,Y,N,804663.56,CANDIDATE_MASTER
SKU-36d58d6b0b2496b4,T-2705,T-2705,00-00001437,"Платье женское, черное, из крепа, с декором ""белая Y"" из кожи",N,Y,N,263814.18,CANDIDATE_MASTER
SKU-4929b331a010646c,T-2707,T-2707,00-00001461,"Жакет женский, синий, из шелкового бархата, с вышивкой ""Птицы""",N,Y,N,1614035.6,CANDIDATE_MASTER
SKU-edeb112659d736ec,T-2708,T-2708,00-00001435,"Брюки женские, синие, из шелкового бархата, с отделкой белым кантом",N,Y,N,662413.16,CANDIDATE_MASTER
SKU-4cb4827622f0441b,T-2709,T-2709,00-00001538,"Жакет женский, синий, из шелк бархата, с вышивкой ""Ласточка""",N,N,N,,CANDIDATE_MASTER
SKU-80bcff0f925b45cf,T-2710,T-2710,00-00001539,"Брюки женские, синие, из шелк бархата, широкие",N,N,N,,CANDIDATE_MASTER
SKU-b17112f129db9375,T-2719,T-2719,00-00001475,"Пальто женское, серое, из натуральной кожи, с поясом",N,Y,N,1860850.89,CANDIDATE_MASTER
SKU-9f8e8a1a834d7751,T-2720,T-2720,00-00001441,"Пальто женское, бежевое, из замши, на запах",N,Y,N,1076410.0,CANDIDATE_MASTER
SKU-589cf7b14a3271b4,T-2750A,T-2750A,00-00001340,"Блуза-топ женская, белая с принтом ""оранжевые Y"", из шелка",N,Y,N,143800.0,CANDIDATE_MASTER
SKU-59eeb732a36cf7af,T-2750B,T-2750B,00-00001342,"Блуза-топ женская, серая, из шелка, на бретелях",Y,Y,Y,1009708.33,CANDIDATE_MASTER
SKU-b02c425a79bb8bb2,T-2750B,T-2750B/1,00-00001343,"Блуза-топ женская, черная, из шелка, на бретелях",Y,Y,Y,1009708.33,CANDIDATE_MASTER
SKU-29c2cd1ac5b0e29f,T-2750C,T-2750C,00-00001727,"Блуза-топ женская, мятная, из шелка, на бретелях",Y,Y,Y,165900.0,CANDIDATE_MASTER
SKU-c5736f724dccbcfc,T-2750D,T-2750D,00-00001726,"Блуза-топ женская, голубая, из шелка, на бретелях",Y,Y,Y,166630.98,CANDIDATE_MASTER
SKU-245f1750d90935cf,T-2751,T-2751,00-00001341,"Юбка женская, синяя с принтом ""белые Y и девочки"", из хлопка, с карманами",N,Y,N,401668.16,CANDIDATE_MASTER
SKU-22fb3760ffab8982,T-2752,T-2752,00-00001309,"Блуза женская, черная с принтом "" белые Y и девочки"", из шелка, с отделкой ""лампас""",N,Y,N,1998951.62,CANDIDATE_MASTER
SKU-bc628e0901e0374f,T-2753,T-2753,00-00001314,"Блуза женская, синяя с принтом ""белые Y и девочки"", из хлопка, со съемным бантом",N,Y,N,1128572.4,CANDIDATE_MASTER
SKU-9d7ff652d42e2ac6,T-2754,T-2754,00-00001338,"Платье женское, черное с принтом ""белые балерины"", из шелка, на бретелях",Y,Y,Y,1634602.92,CANDIDATE_MASTER
SKU-7fe22862b2dfc138,T-2754A,T-2754A,00-00001339,"Платье женское, белое с принтом ""черные балерины"", из шелка, на бретелях",Y,Y,Y,1276610.0,CANDIDATE_MASTER
SKU-03aeba04ac03da70,T-2756,T-2756,00-00001429,"Свитер женский, белый, из кашемира, с рашивкой ""Россыпь""",N,Y,N,659181.13,CANDIDATE_MASTER
SKU-9fe462bf71573b29,T-2756,T-2756/1,00-00001431,"Свитер женский, черный, из кашемира, с расшивкой ""Россыпь""",N,Y,N,659181.13,CANDIDATE_MASTER
SKU-2a962881c2bb5b5f,T-2756A,T-2756A,00-00001433,"Свитер женский, серый, из кашемира, с расшивкой ""Колье""",N,Y,N,770880.0,CANDIDATE_MASTER
SKU-f97e4102e86f4e9c,T-2756B,T-2756B,00-00001432,"Свитер женский, белый, из кашемира, с расшивкой ""Колье""",N,Y,N,513100.0,CANDIDATE_MASTER
SKU-afc55e4da041f154,T-2756C,T-2756C,00-00001430,"Свитер женский, черный, из кашемира, с расшивкой на манжетах",N,Y,N,714569.7,CANDIDATE_MASTER
SKU-0b975249dee81c7e,T-2756D,T-2756D,00-00001418,"Свитер женский, фуксия, из кашемира, с расшивкой ""Ласточка""",N,Y,N,948601.72,CANDIDATE_MASTER
SKU-740c275c7d47acd2,T-2756D,T-2756D/1,00-00001427,"Свитер женский, серый, из кашемира, с расшивкой ""Ласточка""",N,Y,N,948601.72,CANDIDATE_MASTER
