tax_cash_id,period_month,article_name,account_bucket,legal_entity_id,amount_rub,expense_line_id,source_file_id
TC-6cfa504b30194b38,2026-01,"налоги (УСН, транспортный, НДС)",DEKOR,LE-OOO-DEKOR,201461.0,EX-66cbac89c243e48a,FILE-062
TC-41667a0d18a5aa9b,2026-01,"налоги (УСН, транспортный, НДС)",SALON,LE-IP-YANINA,46151.27,EX-950e89fa9736b6da,FILE-062
TC-4bcb68dde46bf5a2,2026-01,"налоги (УСН, транспортный, НДС)",IP_ALFA,LE-IP-YANINA,630000.0,EX-9f8ee050fa112939,FILE-062
TC-392ed0a2332c59dd,2026-01,налоги с зарплаты,DEKOR,LE-OOO-DEKOR,265900.28,EX-9768fb72e9fc50a3,FILE-062
TC-6e6418dbcc32969a,2026-01,налоги с зарплаты,IP_VTB,LE-IP-YANINA,574752.13,EX-39bd7620e714d65e,FILE-062
TC-c4d75b72917af6be,2026-02,налоги с зарплаты,IP_VTB,LE-IP-YANINA,475944.0,EX-feee633f7c51e47d,FILE-062
TC-33d3a9db8f1fe7fa,2026-03,"налоги (УСН, транспортный, НДС)",IP_VTB,LE-IP-YANINA,559287.21,EX-c60117d10f5e6a9c,FILE-062
TC-978274f0d4db0e06,2026-03,"налоги (УСН, транспортный, НДС)",IP_ALFA,LE-IP-YANINA,871079.0,EX-228a0e26ef598362,FILE-062
TC-0ba9b03ccc8605ed,2026-03,налоги с зарплаты,IP_VTB,LE-IP-YANINA,927.09,EX-6d0d0db158b5e5ae,FILE-062
TC-5e91b75e7a8177b9,2026-03,налоги с зарплаты,IP_ALFA,LE-IP-YANINA,1769804.39,EX-9a1e81169c25c62d,FILE-062
TC-a22963e104cb1c8e,2026-04,"налоги (УСН, транспортный, НДС)",DEKOR,LE-OOO-DEKOR,10200.0,EX-cd18362970c68f5f,FILE-062
TC-3068b1e4a6facd2e,2026-04,"налоги (УСН, транспортный, НДС)",IP_VTB,LE-IP-YANINA,1346802.5,EX-e290507ee5a8e7dc,FILE-062
TC-24c5fa25284537d4,2026-04,"налоги (УСН, транспортный, НДС)",IP_ALFA,LE-IP-YANINA,1557475.0,EX-41e7873b9f3de26c,FILE-062
TC-da4ac6d5015d075a,2026-04,налоги с зарплаты,IP_VTB,LE-IP-YANINA,1162241.39,EX-35bc06f479f3ed30,FILE-062
TC-ce716dce011290ec,2026-05,"налоги (УСН, транспортный, НДС)",IP_ALFA,LE-IP-YANINA,481001.0,EX-2c4a25d6952c2e0c,FILE-062
TC-3f287f2ab1907518,2026-05,налоги с зарплаты,IP_VTB,LE-IP-YANINA,14353.28,EX-49d94b0e61993356,FILE-062
TC-e929c8702a752c03,2026-05,налоги с зарплаты,IP_ALFA,LE-IP-YANINA,1151180.13,EX-769a8e804109b4bb,FILE-062
TC-e5ee2abbe66ac54f,2026-06,"налоги (УСН, транспортный, НДС)",SALON,LE-IP-YANINA,21216.3,EX-c0773efc23184750,FILE-062
TC-ab9ff2ece94d5562,2026-06,"налоги (УСН, транспортный, НДС)",IP_ALFA,LE-IP-YANINA,179748.0,EX-270d877afa676668,FILE-062
TC-b9a35580b64a0fc5,2026-06,налоги с зарплаты,DEKOR,LE-OOO-DEKOR,24383.7,EX-6bab1d76f84f1c8f,FILE-062
TC-ddcbd6674d6cc44e,2026-06,налоги с зарплаты,SALON,LE-IP-YANINA,24383.7,EX-6619256afd3ae367,FILE-062
TC-d0e717254140dd4a,2026-06,налоги с зарплаты,IP_VTB,LE-IP-YANINA,38938.41,EX-00802abeba6bc571,FILE-062
